"user_id","activity_count"
"4102","14556"
"2440","14392"
"5202","14334"
"278","14170"
"3160","14089"
"1230","14013"
"4046","13995"
"3907","13984"
"4657","13940"
"1898","13871"
"4660","13849"
"3538","13811"
"5064","13802"
"73112","13690"
"4663","13645"
"2636","13605"
"215","13591"
"4794","13533"
"752","13481"
"3792","13421"
"2434","13372"
"1061","13263"
"3403","13227"
"7197","13195"
"2488","13166"
"3588","13086"
"2287","13064"
"4278","13051"
"2454","13036"
"1989","13026"
"3532","12987"
"694","12978"
"1336","12962"
"5160","12893"
"4091","12857"
"3286","12833"
"4183","12827"
"3850","12800"
"1385","12762"
"108711","12762"
"1122","12680"
"4527","12656"
"4156","12614"
"4661","12614"
"1585","12524"
"2612","12482"
"3999","12403"
"1604","12371"
"3068","12365"
"4194","12341"
"4191","12327"
"1705","12315"
"2328","12287"
"4948","12214"
"2344","12190"
"1275","12175"
"4709","12166"
"72886","12136"
"4513","12133"
"1721","12084"
"1761","12054"
"3251","12044"
"2009","12020"
"3007","11976"
"5044","11906"
"2128","11873"
"2860","11841"
"3915","11785"
"3779","11778"
"107886","11761"
"5056","11758"
"4442","11748"
"2696","11715"
"73103","11704"
"3326","11665"
"907","11655"
"1609","11653"
"73049","11617"
"2133","11615"
"3595","11567"
"3992","11520"
"1860","11512"
"3706","11486"
"1571","11378"
"3794","11370"
"4037","11358"
"2138","11335"
"582","11322"
"1068","11270"
"1034","11267"
"4786","11258"
"2718","11224"
"4504","11223"
"108764","11215"
"1491","11131"
"1511","11130"
"5163","11108"
"73029","11047"
"72920","11039"
"3619","11027"
"1598","11017"
"2303","10983"
"1209","10941"
"1856","10920"
"1926","10912"
"5018","10867"
"1893","10867"
"3406","10830"
"823","10759"
"103718","10728"
"11","10721"
"2268","10710"
"105606","10693"
"2319","10640"
"589","10635"
"72940","10596"
"4266","10591"
"3445","10491"
"1999","10463"
"1158","10427"
"4263","10423"
"1949","10422"
"2970","10406"
"4458","10403"
"5087","10389"
"1084","10379"
"2324","10370"
"3103","10366"
"72916","10354"
"2719","10343"
"73011","10308"
"1071","10296"
"3582","10281"
"103708","10271"
"4614","10244"
"3634","10233"
"4881","10140"
"1009","10132"
"2805","10112"
"1776","10085"
"1442","10063"
"5002","10006"
"4145","9977"
"73015","9930"
"1601","9927"
"2467","9917"
"4526","9895"
"3038","9837"
"5144","9837"
"4789","9818"
"1941","9817"
"388","9793"
"72906","9784"
"1725","9773"
"1287","9737"
"1304","9726"
"7184","9703"
"79604","9691"
"5078","9678"
"4900","9635"
"105904","9616"
"4394","9610"
"2037","9595"
"108496","9589"
"72984","9574"
"106606","9574"
"2861","9553"
"973","9534"
"1778","9518"
"1069","9517"
"1014","9507"
"2008","9489"
"3026","9408"
"1500","9379"
"245","9365"
"3674","9364"
"2395","9362"
"9547","9359"
"5116","9330"
"964","9287"
"5112","9275"
"3074","9262"
"1569","9255"
"1903","9238"
"2493","9209"
"1872","9196"
"4273","9147"
"1859","9144"
"3825","9141"
"2062","9136"
"1978","9118"
"1012","9112"
"73056","9104"
"1706","9098"
"1902","9098"
"1573","9077"
"2445","9058"
"2957","9058"
"5146","9031"
"2748","9029"
"3184","9007"
"4000","8988"
"2889","8964"
"3593","8932"
"1368","8921"
"1964","8909"
"109273","8907"
"3520","8905"
"4967","8889"
"1214","8885"
"4870","8883"
"2854","8868"
"4169","8850"
"4560","8840"
"72927","8832"
"4077","8825"
"3795","8797"
"867","8797"
"1969","8783"
"3524","8773"
"73050","8744"
